show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1194,Movie,Sister Act,United States,2019-11-12,1992,PG,101,Family,A low-rent lounge singer is forced to hide out from the mob in a convent.,Disney
s1195,Movie,Sister Act 2: Back in the Habit,United States,2019-11-12,1993,PG,108,Comedy,Deloris goes back undercover to try to save a troubled inner-city school.,Disney
s1195,Movie,Sister Act 2: Back in the Habit,United States,2019-11-12,1993,PG,108,Family,Deloris goes back undercover to try to save a troubled inner-city school.,Disney
s1195,Movie,Sister Act 2: Back in the Habit,United States,2019-11-12,1993,PG,108,Music,Deloris goes back undercover to try to save a troubled inner-city school.,Disney
s1196,Movie,Skyrunners,United States,2019-11-12,2009,TV-PG,93,Action-Adventure,Teen brothers discover a UFO near their town…and learn of an alien plot.,Disney
s1196,Movie,Skyrunners,United States,2019-11-12,2009,TV-PG,93,Science Fiction,Teen brothers discover a UFO near their town…and learn of an alien plot.,Disney
s1197,Movie,Sleeping Beauty,United States,2019-11-12,1959,G,77,Animation,A fairy-tale classic about a princess saved by true love's kiss.,Disney
s1197,Movie,Sleeping Beauty,United States,2019-11-12,1959,G,77,Family,A fairy-tale classic about a princess saved by true love's kiss.,Disney
s1197,Movie,Sleeping Beauty,United States,2019-11-12,1959,G,77,Fantasy,A fairy-tale classic about a princess saved by true love's kiss.,Disney
s1198,Movie,Smart House,United States,2019-11-12,1999,TV-G,82,Comedy,A computerized Smart House becomes an overly possessive virtual mother.,Disney
s1198,Movie,Smart House,United States,2019-11-12,1999,TV-G,82,Coming of Age,A computerized Smart House becomes an overly possessive virtual mother.,Disney
s1198,Movie,Smart House,United States,2019-11-12,1999,TV-G,82,Drama,A computerized Smart House becomes an overly possessive virtual mother.,Disney
s1199,Movie,Smash and Grab,United States,2019-11-12,2019,PG,8,Animation,Two antiquated robots risk everything for freedom and for each other.,Disney
s1199,Movie,Smash and Grab,United States,2019-11-12,2019,PG,8,Buddy,Two antiquated robots risk everything for freedom and for each other.,Disney
s1199,Movie,Smash and Grab,United States,2019-11-12,2019,PG,8,Family,Two antiquated robots risk everything for freedom and for each other.,Disney
s1200,Movie,Snow White and The Seven Dwarfs,United States,2019-11-12,1937,G,84,Animation,Discover the movie called “The Greatest Animated Film Of All Time”!,Disney
s1200,Movie,Snow White and The Seven Dwarfs,United States,2019-11-12,1937,G,84,Family,Discover the movie called “The Greatest Animated Film Of All Time”!,Disney
